grado,tiempo_estandar(us),tiempo_horner(us)
10,0.00,0.00
20,0.00,0.00
30,0.00,0.00
40,0.00,0.00
50,0.00,0.00
60,9.96,0.00
70,2.01,0.00
80,3.80,0.00
90,3.55,2.00
100,0.00,3.62
110,0.00,0.00
120,2.47,0.00
130,0.00,4.68
140,0.00,0.00
150,8.74,0.00
160,0.00,0.00
170,0.00,0.00
180,15.70,0.00
190,0.00,0.00
200,0.00,0.00
210,12.99,0.00
220,2.89,0.00
230,0.00,0.00
240,0.00,0.00
250,15.97,0.00
260,8.11,0.00
270,5.33,0.00
280,0.00,0.00
290,13.72,2.01
300,7.00,1.74
310,7.33,0.00
320,15.82,0.00
330,15.20,2.50
340,0.00,0.00
350,0.00,0.00
360,20.64,0.00
370,13.40,2.02
380,12.08,1.90
390,10.71,0.00
400,6.16,0.00
410,7.01,0.00
420,0.00,0.00
430,7.33,0.00
440,15.71,2.00
450,0.00,14.59
460,15.06,0.00
470,14.60,0.00
480,15.89,2.00
490,12.06,0.00
500,16.08,0.00
510,21.44,1.74
520,8.23,0.00
530,15.76,0.00
540,1.68,0.00
550,0.00,0.00
560,9.51,0.00
570,14.06,0.00
580,14.93,1.74
590,12.04,3.34
600,14.04,0.00
610,15.74,0.00
620,19.61,1.74
630,10.60,10.61
640,15.90,0.00
650,16.08,0.00
660,27.82,2.00
670,15.54,0.00
680,15.24,0.00
690,33.87,2.00
700,12.03,0.00
710,31.41,0.00
720,24.92,1.74
730,21.85,0.00
740,16.04,0.00
750,34.60,2.00
760,18.19,0.00
770,22.57,2.12
780,24.26,2.00
790,24.89,1.74
800,27.85,2.00
810,17.48,0.00
820,31.63,0.00
830,31.37,0.00
840,34.95,3.48
850,29.48,2.00
860,32.21,2.00
870,32.70,1.74
880,30.14,3.74
890,29.04,3.00
900,29.64,0.00
910,35.38,2.00
920,33.02,1.74
930,33.13,2.00
940,33.91,1.74
950,32.27,0.00
960,32.09,0.00
970,31.59,0.00
980,33.57,2.00
990,35.58,1.74
1000,22.52,15.91
